date,IGP-DI,IGP-M,INPC,IPC-Br,IPCA
2000-01-01,1.02,1.24,0.61,1.01,0.62
2000-02-01,0.19,0.35,0.05,0.05,0.13
2000-03-01,0.18,0.15,0.13,0.51,0.22
2000-04-01,0.13,0.23,0.09,0.25,0.42
2000-05-01,0.67,0.31,-0.05,0.4,0.01
2000-06-01,0.93,0.85,0.3,-0.01,0.23
2000-07-01,2.26,1.57,1.39,1.91,1.61
2000-08-01,1.82,2.39,1.21,0.86,1.31
2000-09-01,0.69,1.16,0.43,0.04,0.23
2000-10-01,0.37,0.38,0.16,0.02,0.14
2000-11-01,0.39,0.29,0.29,0.4,0.32
2000-12-01,0.76,0.63,0.55,0.62,0.59
2001-01-01,0.49,0.62,0.77,0.64,0.57
2001-02-01,0.34,0.23,0.49,0.4,0.46
2001-03-01,0.8,0.56,0.48,0.56,0.38
2001-04-01,1.13,1,0.84,0.86,0.58
2001-05-01,0.44,0.86,0.57,0.41,0.41
2001-06-01,1.46,0.98,0.6,0.52,0.52
2001-07-01,1.62,1.48,1.11,1.36,1.33
2001-08-01,0.9,1.38,0.79,0.54,0.7
2001-09-01,0.38,0.31,0.44,0.12,0.28
2001-10-01,1.45,1.18,0.94,0.71,0.83
2001-11-01,0.76,1.1,1.29,0.85,0.71
2001-12-01,0.18,0.22,0.74,0.7,0.65
2002-01-01,0.19,0.36,1.07,0.79,0.52
2002-02-01,0.18,0.06,0.31,0.14,0.36
2002-03-01,0.11,0.09,0.62,0.42,0.6
2002-04-01,0.7,0.56,0.68,0.71,0.8
2002-05-01,1.11,0.83,0.09,0.28,0.21
2002-06-01,1.74,1.54,0.61,0.55,0.42
2002-07-01,2.05,1.95,1.15,1.03,1.19
2002-08-01,2.36,2.32,0.86,0.76,0.65
2002-09-01,2.64,2.4,0.83,0.66,0.72
2002-10-01,4.21,3.87,1.57,1.14,1.31
2002-11-01,5.84,5.19,3.39,3.14,3.02
2002-12-01,2.7,3.75,2.7,1.94,2.1
2003-01-01,2.17,2.33,2.47,2.32,2.25
2003-02-01,1.59,2.28,1.46,1.37,1.57
2003-03-01,1.66,1.53,1.37,1.06,1.23
2003-04-01,0.41,0.92,1.38,1.12,0.97
2003-05-01,-0.67,-0.26,0.99,0.69,0.61
2003-06-01,-0.7,-1,-0.06,-0.16,-0.15
2003-07-01,-0.2,-0.42,0.04,0.34,0.2
2003-08-01,0.62,0.38,0.18,0.13,0.34
2003-09-01,1.05,1.18,0.82,0.76,0.78
2003-10-01,0.44,0.38,0.39,0.21,0.29
2003-11-01,0.48,0.49,0.37,0.33,0.34
2003-12-01,0.6,0.61,0.54,0.43,0.52
2004-01-01,0.8,0.88,0.83,1.08,0.76
2004-02-01,1.08,0.69,0.39,0.28,0.61
2004-03-01,0.93,1.13,0.57,0.46,0.47
2004-04-01,1.15,1.21,0.41,0.31,0.37
2004-05-01,1.46,1.31,0.4,0.71,0.51
2004-06-01,1.29,1.38,0.5,0.78,0.71
2004-07-01,1.14,1.31,0.73,0.59,0.91
2004-08-01,1.31,1.22,0.5,0.79,0.69
2004-09-01,0.48,0.69,0.17,0.01,0.33
2004-10-01,0.53,0.39,0.17,0.1,0.44
2004-11-01,0.82,0.82,0.44,0.37,0.69
2004-12-01,0.52,0.74,0.86,0.63,0.86
2005-01-01,0.33,0.39,0.57,0.85,0.58
2005-02-01,0.4,0.3,0.44,0.43,0.59
2005-03-01,0.99,0.85,0.73,0.7,0.61
2005-04-01,0.51,0.86,0.91,0.88,0.87
2005-05-01,-0.25,-0.22,0.7,0.79,0.49
2005-06-01,-0.45,-0.44,-0.11,-0.05,-0.02
2005-07-01,-0.4,-0.34,0.03,0.13,0.25
2005-08-01,-0.79,-0.65,0,-0.44,0.17
2005-09-01,-0.13,-0.53,0.15,0.09,0.35
2005-10-01,0.63,0.6,0.58,0.42,0.75
2005-11-01,0.33,0.4,0.54,0.57,0.55
2005-12-01,0.07,-0.01,0.4,0.46,0.36
2006-01-01,0.72,0.92,0.38,0.65,0.59
